date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:52	153679/153679	---MCZ	200	added ('OK')	text/html	etag:W/%222584f-5a5ab6d81a3b3%22	https://www.strela-academy.ru/	/home/user/websites/almaty/www.strela-academy.ru/index.html	(from )
00:07:52	212/212	---M--	200	added ('OK')	text/plain	etag:%22d4-5a1e3b2905ccc%22	https://www.strela-academy.ru/robots.txt		(from )
00:07:53	53119/53119	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2018:07:52%20GMT	https://static.tildacdn.com/lib/unsplash/596ba62b-55bb-dc43-fc08-19eb54ee0e04/-/resize/504x/photo.jpg	/home/user/websites/almaty/static.tildacdn.com/lib/unsplash/596ba62b-55bb-dc43-fc08-19eb54ee0e04/-/resize/504x/photo.jpg	(from https://www.strela-academy.ru/)
00:07:53	51/51	---MCZ	200	added ('OK')	text/html	etag:W/%225f338e73-33%22	https://static.tildacdn.com/	/home/user/websites/almaty/static.tildacdn.com/index.html	(from https://www.strela-academy.ru/)
00:07:53	118/118	---M--	200	added ('OK')	text/html	etag:%2276-501b14335ed00%22	https://tilda.ws/	/home/user/websites/almaty/tilda.ws/index.html	(from https://www.strela-academy.ru/)
00:07:53	1718/1718	---M--	200	added ('OK')	image/x-icon	etag:%22539cb98730871486358e58b899ac739e%22	https://static.tildacdn.com/img/tildafavicon.ico	/home/user/websites/almaty/static.tildacdn.com/img/tildafavicon.ico	(from https://www.strela-academy.ru/)
00:07:55	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%225f338e69-1010%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	/home/user/websites/almaty/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://www.strela-academy.ru/)
00:07:56	76690/76690	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20May%202020%2008:16:19%20GMT	https://tilda.ws/project1997668/tilda-blocks-2.12.css?t=1589530578	/home/user/websites/almaty/tilda.ws/project1997668/tilda-blocks-2.122e63.css	(from https://www.strela-academy.ru/)
00:07:57	10404/10404	---MCZ	200	added ('OK')	text/css	etag:W/%225f35a0ce-28a4%22	https://static.tildacdn.com/css/tilda-animation-1.0.min.css	/home/user/websites/almaty/static.tildacdn.com/css/tilda-animation-1.0.min.css	(from https://www.strela-academy.ru/)
00:07:58	4130/4130	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f338e6b-1022%22	https://static.tildacdn.com/js/rentafont_webfonts.js	/home/user/websites/almaty/static.tildacdn.com/js/rentafont_webfonts.js	(from https://www.strela-academy.ru/)
